Source,Target,Player_Name,Player_Position
1. FC Kˆln,1.FC Nuremberg,Johannes Geis,Defensive Midfield
1. FC Kˆln,Amiens SC,Serhou Guirassy,Centre-Forward
1. FC Kˆln,Amiens SC,Serhou Guirassy,Centre-Forward
1. FC Kˆln,AS Saint-…tienne,Anthony Modeste,Centre-Forward
1. FC Kˆln,CD Nacional,Vincent Koziello,Central Midfield
1. FC Kˆln,FC Luzern,Louis Schaub,Attacking Midfield
1. FC Kˆln,FC Viktoria Kˆln,Marcel Risse,Right Midfield
1. FC Kˆln,Hamburger SV,Louis Schaub,Attacking Midfield
1. FC Kˆln,Hamburger SV,Simon Terodde,Centre-Forward
1. FC Kˆln,Hannover 96,Jannes Horn,Left-Back
1. FC Kˆln,Hannover 96,Kingsley Schindler,Right Winger
1. FC Kˆln,Hertha BSC,Lukas Kl√ºnter,Right-Back
1. FC Kˆln,Hertha BSC,Jhon C√≥rdoba,Centre-Forward
1. FC Kˆln,Royal Antwerp FC,Birger Verstraete,Defensive Midfield
1. FC Kˆln,SC Freiburg,Dominique Heintz,Centre-Back
1. FC Kˆln,SV Werder Bremen,Yuya Osako,Centre-Forward
1. FC Kˆln,Tianjin Quanjian,Anthony Modeste,Centre-Forward
1. FC Kˆln,TSG 1899 Hoffenheim,Leonardo Bittencourt,Attacking Midfield
1.FC Kaiserslautern,Bayer 04 Leverkusen,Lennart Grill,Goalkeeper
1.FC Kaiserslautern,Hamburger SV,Julian Pollersbeck,Goalkeeper
1.FC Kaiserslautern,SC Freiburg,Robin Koch,Centre-Back
1.FC Magdeburg,1.FC Union Berlin,Marius B√ºlter,Second Striker
1.FC Nuremberg,Hertha BSC,Eduard L√∂wen,Central Midfield
1.FC Nuremberg,Huddersfield Town,Abdelhamid Sabiri,Attacking Midfield
1.FC Nuremberg,SV Werder Bremen,Patrick Erras,Defensive Midfield
1.FC Nuremberg,SV Werder Bremen,Kevin M√∂hwald,Central Midfield
1.FC Union Berlin,1. FC Kˆln,Sebastian Andersson,Centre-Forward
1.FC Union Berlin,Denizlispor,Neven Subotic,Centre-Back
1.FC Union Berlin,Eintracht Braunschweig,Suleiman Abdullahi,Centre-Forward
1.FC Union Berlin,FC Augsburg,Marvin Friedrich,Centre-Back
