Id,Label,League,Country,Played_In_European_Comp
1. FC Köln,1. FC Köln,Bundesliga,Germany,No
1.FC Heidenheim 1846,1.FC Heidenheim 1846,2. Bundesliga,Germany,No
1.FC Kaiserslautern,1.FC Kaiserslautern,2. Bundesliga/3. Liga,Germany,No
1.FC Magdeburg,1.FC Magdeburg,3. Liga,Germany,No
1.FC Nuremberg,1.FC Nuremberg,2. Bundesliga,Germany,No
1.FC Union Berlin,1.FC Union Berlin,Bundesliga/2. Bundesliga,Germany,No
1.FSV Mainz 05,1.FSV Mainz 05,Bundesliga,Germany,No
Aalborg BK,Aalborg BK,Superligaen,Denmark,No
Aarhus GF,Aarhus GF,Superligaen,Denmark,No
Aberdeen FC,Aberdeen FC,Premiership,Scotland,No
AC Ajaccio,AC Ajaccio,Ligue 2,France,No
AC Cesena,AC Cesena,Serie B,Italy,No
AC Le Havre,AC Le Havre,Ligue 2,France,No
AC Milan,AC Milan,Serie A,Italy,Yes
AC Monza,AC Monza,Serie B/Serie C,Italy,No
AC Perugia Calcio,AC Perugia Calcio,Serie B,Italy,No
AC Pisa 1909,AC Pisa 1909,Serie B,Italy,No
AC Sparta Prague,AC Sparta Prague,Fortuna Liga,Czech Republic,No
ACF Fiorentina,ACF Fiorentina,Serie A,Italy,No
ADO Den Haag,ADO Den Haag,Eredivisie,Netherlands,No
AEK Athens,AEK Athens,Super League 1,Greece,No
AFC Bournemouth,AFC Bournemouth,Premier League/Championship,England,No
AJ Auxerre,AJ Auxerre,Ligue 2,France,No
Ajax Amsterdam,Ajax Amsterdam,Eredivisie,Netherlands,No
Ajax Amsterdam U21,Ajax Amsterdam U21,Keuken Kampioen Divisie,Netherlands,No
Akhmat Grozny,Akhmat Grozny,Premier Liga,Russia,No
Al Ittihad Kalba Sports Club,Al Ittihad Kalba Sports Club,UAE Pro League,United Arab Emirates,No
Al-Ahli Jeddah,Al-Ahli Jeddah,Professional League,Saudi Arabia,No
Al-Ahli SC,Al-Ahli SC,Stars League,Qatar,No
Al-Ain,Al-Ain,Professional League,Saudi Arabia,No
Alanyaspor,Alanyaspor,Süper Lig,Turkey,No
Albacete Balompié,Albacete Balompié,LaLiga2,Spain,No
Al-Dhafra SCC,Al-Dhafra SCC,UAE Pro League,United Arab Emirates,No
Al-Duhail SC,Al-Duhail SC,Stars League,Qatar,No
Al-Ettifaq,Al-Ettifaq,Professional League,Saudi Arabia,No
Al-Faisaly Harmah,Al-Faisaly Harmah,Professional League,Saudi Arabia,No
Al-Gharafa SC,Al-Gharafa SC,Stars League,Qatar,No
Al-Hazem SC,Al-Hazem SC,Professional League,Saudi Arabia,No
Al-Hilal Riyadh,Al-Hilal Riyadh,Professional League,Saudi Arabia,No
Al-Ittihad Jeddah,Al-Ittihad Jeddah,Professional League,Saudi Arabia,No
Al-Jazira (Abu Dhabi),Al-Jazira (Abu Dhabi),UAE Pro League,United Arab Emirates,No
Al-Nasr (Dubai),Al-Nasr (Dubai),UAE Pro League,United Arab Emirates,No
Al-Nassr Riad,Al-Nassr Riad,Professional League,Saudi Arabia,No
Al-Rayyan SC,Al-Rayyan SC,Stars League,Qatar,No
Al-Sadd SC,Al-Sadd SC,Stars League,Qatar,No
Al-Shabab Riyadh,Al-Shabab Riyadh,Professional League,Saudi Arabia,No
Altay SK,Altay SK,1.Lig,Turkey,No
Al-Wahda Mekka,Al-Wahda Mekka,Professional League,Saudi Arabia,No
Amiens SC,Amiens SC,Ligue 1/Ligue 2,France,No
Antalyaspor,Antalyaspor,Süper Lig,Turkey,No
APOEL Nicosia,APOEL Nicosia,Protathlima Cyta,Cyprus,No
Aris Thessaloniki,Aris Thessaloniki,Super League 1,Greece,No
Arminia Bielefeld,Arminia Bielefeld,Bundesliga,Germany,No
Arsenal FC,Arsenal FC,Premier League,England,Yes
Arsenal Tula,Arsenal Tula,Premier Liga,Russia,No
AS Cittadella,AS Cittadella,Serie B,Italy,No
AS Livorno,AS Livorno,Serie B,Italy,No
AS Monaco,AS Monaco,Ligue 1,Monaco,Yes
AS Monaco B,AS Monaco B,National 2,Monaco,No
AS Nancy-Lorraine,AS Nancy-Lorraine,Ligue 2,France,No
AS Roma,AS Roma,Serie A,Italy,Yes
AS Saint-Étienne,AS Saint-Étienne,Ligue 1,France,Yes
Ascoli Calcio,Ascoli Calcio,Serie B,Italy,No
Ãšjpest FC,Ãšjpest FC,NB I.,Hungary,No
Asociación Atlética Argentinos Juniors,Asociación Atlética Argentinos Juniors,Primera División,Argentina,No
Associação Atlética Ponte Preta,Associação Atlética Ponte Preta,Campeonato Brasileiro Série B,Brazil,No
Associação Chapecoense de Futebol,Associação Chapecoense de Futebol,Campeonato Brasileiro Série A,Brazil,No
Asteras Tripolis,Asteras Tripolis,Super League 1,Greece,No
Aston Villa,Aston Villa,Premier League/Championship,England,No
Atalanta BC,Atalanta BC,Serie A,Italy,Yes
Athletic Bilbao,Athletic Bilbao,LaLiga,Spain,Yes
Atlanta United FC,Atlanta United FC,MLS,United States,No
Atlas Guadalajara,Atlas Guadalajara,Liga MX Clausura,Mexico,No
Atlético Huila,Atlético Huila,Liga DIMAYOR II,Colombia,No
Atlético Madrid,Atlético Madrid,LaLiga,Spain,Yes
Atlético Madrid B,Atlético Madrid B,Segunda División B,Spain,No
Atlético Nacional,Atlético Nacional,Liga DIMAYOR II,Colombia,No
Austria Vienna,Austria Vienna,Bundesliga,Austria,No
AZ Alkmaar,AZ Alkmaar,Eredivisie,Netherlands,No
Barcelona SC Guayaquil,Barcelona SC Guayaquil,Serie A Segunda Etapa,Ecuador,No
Barnsley FC,Barnsley FC,Championship,England,No
Bayer 04 Leverkusen,Bayer 04 Leverkusen,Bundesliga,Germany,Yes
Bayern Munich,Bayern Munich,Bundesliga,Germany,Yes
Beijing Guoan,Beijing Guoan,Super League,China,No
Beijing Renhe,Beijing Renhe,Super League,China,No
Belenenses SAD,Belenenses SAD,Liga NOS,Portugal,No
Benevento Calcio,Benevento Calcio,Serie A,Italy,No
Besiktas JK,Besiktas JK,Süper Lig,Turkey,No
Birmingham City,Birmingham City,Championship,England,No
Blackburn Rovers,Blackburn Rovers,Championship/League One,England,No
Blackpool FC,Blackpool FC,League One,England,No
Boavista FC,Boavista FC,Liga NOS,Portugal,No
Bologna FC 1909,Bologna FC 1909,Serie A,Italy,No
Bolton Wanderers,Bolton Wanderers,Championship,England,No
Borussia Dortmund,Borussia Dortmund,Bundesliga,Germany,Yes
Borussia Mönchengladbach,Borussia Mönchengladbach,Bundesliga,Germany,Yes
Botafogo de Futebol e Regatas,Botafogo de Futebol e Regatas,Campeonato Brasileiro Série A,Brazil,No
Brentford FC,Brentford FC,Championship,England,No
Brescia Calcio,Brescia Calcio,Serie A/Serie B,Italy,No
Brighton & Hove Albion,Brighton & Hove Albion,Premier League,England,No
Brisbane Roar,Brisbane Roar,A-League,Australia,No
Bristol City,Bristol City,Championship,England,No
Brøndby IF,Brøndby IF,Superligaen,Denmark,No
BSC Young Boys,BSC Young Boys,Super League,Switzerland,No
Burnley FC,Burnley FC,Premier League,England,Yes
Bursaspor,Bursaspor,1.Lig,Turkey,No
C.S. Marítimo,C.S. Marítimo,Liga NOS,Portugal,No
CA Osasuna,CA Osasuna,LaLiga/LaLiga2,Spain,No
CA Peñarol,CA Peñarol,Primera División,Uruguay,No
Cádiz CF,Cádiz CF,LaLiga/LaLiga2,Spain,No
Cagliari Calcio,Cagliari Calcio,Serie A,Italy,No
Calcio Padova,Calcio Padova,Serie B/Serie C,Italy,No
Cardiff City,Cardiff City,Championship,Wales,No
Carpi FC 1909,Carpi FC 1909,Serie B,Italy,No
Caykur Rizespor,Caykur Rizespor,Süper Lig,Turkey,No
CD Cruz Azul,CD Cruz Azul,Liga MX Clausura,Mexico,No
CD Feirense,CD Feirense,Liga NOS,Portugal,No
CD Leganés,CD Leganés,LaLiga/LaLiga2,Spain,No
CD Lugo,CD Lugo,LaLiga2,Spain,No
CD Mirandés,CD Mirandés,LaLiga2,Spain,No
CD Nacional,CD Nacional,Liga NOS,Portugal,No
CD Tenerife,CD Tenerife,LaLiga/LaLiga2,Spain,No
Celta de Vigo,Celta de Vigo,LaLiga,Spain,No
Celtic FC,Celtic FC,Premiership,Scotland,No
Cercle Brugge ,Cercle Brugge ,Jupiler Pro League,Belgium,No
CF Fuenlabrada,CF Fuenlabrada,LaLiga2,Spain,No
CF Monterrey,CF Monterrey,Liga MX Clausura,Mexico,No
CF Pachuca,CF Pachuca,Liga MX Clausura,Mexico,No
Chamois Niortais FC,Chamois Niortais FC,Ligue 2,France,No
Charlton Athletic,Charlton Athletic,League One/Championship,England,No
Chelsea FC,Chelsea FC,Premier League,England,Yes
Chicago Fire FC,Chicago Fire FC,MLS,United States,No
Chievo Verona,Chievo Verona,Serie A/Serie B,Italy,No
Chongqing Dangdai Lifan,Chongqing Dangdai Lifan,Super League,China,No
Clermont Foot 63,Clermont Foot 63,Ligue 2,France,No
Club Africain Tunis,Club Africain Tunis,Ligue I Pro,Tunisia,No
Club América,Club América,Liga MX Clausura,Mexico,No
Club Athletico Paranaense,Club Athletico Paranaense,Campeonato Brasileiro Série A,Brazil,No
Club Atlético Banfield,Club Atlético Banfield,Primera División,Argentina,No
Club Atlético Belgrano,Club Atlético Belgrano,Primera División,Argentina,No
Club Atlético Boca Juniors,Club Atlético Boca Juniors,Primera División,Argentina,No
Club Atlético Boston River,Club Atlético Boston River,Primera División,Uruguay,No
Club Atlético Huracán,Club Atlético Huracán,Primera División,Argentina,No
Club Atlético Independiente,Club Atlético Independiente,Primera División,Argentina,No
Club Atlético Lanús,Club Atlético Lanús,Primera División,Argentina,No
Club Atlético River Plate,Club Atlético River Plate,Primera División,Argentina,No
Club Atlético San Lorenzo de Almagro,Club Atlético San Lorenzo de Almagro,Primera División,Argentina,No
Club Atlético Talleres,Club Atlético Talleres,Primera División,Argentina,No
Club Atlético Tigre,Club Atlético Tigre,Primera Nacional,Argentina,No
Club Atlético Vélez Sarsfield,Club Atlético Vélez Sarsfield,Primera División,Argentina,No
Club Brugge KV,Club Brugge KV,Jupiler Pro League,Belgium,No
Club de Regatas Vasco da Gama,Club de Regatas Vasco da Gama,Campeonato Brasileiro Série A,Brazil,No
Club Deportivo Godoy Cruz Antonio Tomba,Club Deportivo Godoy Cruz Antonio Tomba,Primera División,Argentina,No
Club Deportivo Maldonado,Club Deportivo Maldonado,Liga de Ascenso,Uruguay,No
Club Deportivo Universidad Católica,Club Deportivo Universidad Católica,Torneo Transición,Chile,No
Club Estudiantes de La Plata,Club Estudiantes de La Plata,Primera División,Argentina,No
Club León,Club León,Liga MX Clausura,Mexico,No
Club Nacional,Club Nacional,Primera División,Uruguay,No
Club Necaxa,Club Necaxa,Liga MX Clausura,Mexico,No
Club Tijuana,Club Tijuana,Liga MX Clausura,Mexico,No
Clube Atlético Mineiro,Clube Atlético Mineiro,Campeonato Brasileiro Série A,Brazil,No
Clube de Regatas do Flamengo,Clube de Regatas do Flamengo,Campeonato Brasileiro Série A,Brazil,No
